ano,quantidade_vinculos_ativos,cep,bairros_fortaleza
2019,3,60822180,0018
2019,5,60182040,0067
2019,2,60860370,0028
2019,25,60165120,0060
2019,2,60182360,0009
2019,1,60534090,0034
2019,3,60710680,0045
2019,7,60430660,0063
2019,6,60711180,0045
2019,5,60320000,0006
2019,13,60831160,0043
2019,1,60730120,0069
2019,11,60416030,0039
2019,14,60325160,0049
2019,5,60455490,0007
2019,3,60336210,0006
2019,18,60864311,0017
2019,2,60741000,0064
2019,2,60430140,0063
2019,1,60730230,0056
2019,13,60430540,0063
2019,5,60337300,0025
2019,4,60527000,0033
2019,10,60741010,0064
2019,1,60763470,0024
2019,1,60425810,0026
2019,1,60822270,0018
2019,4,60526720,0033
2019,1,60822270,0018
2019,4,60180480,0067
2019,1,60441690,0011
2019,1,60182120,0067
2019,11,60520030,0041
2019,2,60180650,0067
2019,4,60430580,0063
2019,7,60336030,0006
2019,22,60850010,0005
2019,4,60455650,0007
2019,5,60510290,0035
2019,4,60165120,0060
2019,3,60325005,0031
2019,2,60822310,0018
2019,100,60743410,0064
2019,1,60850430,0005
2019,7,60011170,0031
2019,5,60763730,0024
2019,1,60165120,0060
2019,6,60526140,0035
2019,4,60534090,0034
2019,30,60060230,0060
2019,9,60337320,0025
2019,23,60732541,0014
2019,4,60011110,0031
2019,1,60520430,0035
2019,7,60833020,0043
2019,42,60741600,0064
2019,6,60335080,0025
2019,1,60831540,0043
2019,4,60763730,0024
2019,8,60742130,0064
2019,5,60325000,0031
2019,5,60165050,0060
2019,1,60165270,0066
2019,1,60851100,0005
2019,63,60430140,0063
2019,4,60730230,0056
2019,2,60110300,0060
2019,22,60183700,0009
2019,3,60455620,0007
2019,9,60410680,0070
2019,3,60510350,0035
2019,2,60310002,0006
2019,323,60165082,0052
2019,20,60410691,0070
2019,1,60851030,0005
2019,14,60175250,0066
2019,5,60713480,0069
2019,2,60165260,0066
2019,7,60763730,0024
2019,2,60732548,0014
2019,3,60416200,0013
2019,2,60763450,0024
2019,6,60711210,0045
2019,2,60731030,0056
2019,9,60850150,0005
2019,6,60851120,0005
2019,1,60832270,0043
2019,2,60440240,0041
2019,2,60830520,0018
2019,2,60011170,0031
2019,7,60325640,0049
2019,2,60520220,0041
2019,2,60440580,0059
2019,3,60416480,0013
2019,53,60730310,0069
2019,1,60543580,0014
2019,8,60713200,0044
2019,1,60165082,0052
2019,9,60510290,0035
2019,1,60831830,0043
2019,3,60864311,0017
2019,1,60860150,0028
2019,3,60182300,0067
2019,20,60526400,0033
2019,5,60455650,0007
2019,2,60710390,0045
2019,1,60763470,0024
2019,1,60325000,0031
2019,8,60822180,0018
2019,12,60764090,0044
2019,4,60325000,0031
2019,2,60442710,0059
2019,2,60010100,0051
2019,12,60741450,0064
2019,3,60545350,0015
2019,2,60732800,0014
2019,17,60430620,0063
2019,2,60416020,0039
2019,1,60511740,0059
2019,5,60511330,0059
2019,2,60711050,0045
2019,3,60440260,0011
2019,1,60440080,0027
2019,4,60527020,0033
2019,1,60764060,0044
2019,1,60730520,0069
2019,6,60741600,0064
2019,1,60525000,0035
2019,1,60011060,0031
2019,1,60336480,0025
2019,19,60321020,0068
2019,1,60450360,0057
2019,5,60850160,0005
2019,2,60440140,0027
2019,1,60820320,0062
2019,5,60180150,0067
2019,13,60175420,0066
2019,3,60337200,0025
2019,7,60416200,0013
2019,1,60764020,0044
2019,2,60545700,0014
2019,10,60511550,0059
2019,5,60430580,0063
2019,3,60160130,0066
2019,1,60763730,0024
2019,1,60534280,0033
2019,4,60441690,0011
2019,2,60763730,0024
2019,15,60520430,0035
2019,7,60180480,0067
2019,2,60325160,0049
2019,26,60713330,0044
2019,8,60450250,0057
2019,2,60355020,0006
2019,2,60860050,0028
2019,6,60320000,0006
2019,3,60325610,0049
2019,28,60730230,0056
2019,2,60180680,0067
2019,2,60741570,0064
2019,2,60160240,0066
2019,55,60430730,0063
2019,2,60181480,0009
2019,1,60335480,0025
2019,1,60526400,0033
2019,1,60310570,0025
2019,9,60720001,0069
2019,1,60711020,0045
2019,16,60741300,0064
2019,2,60541790,0015
2019,1,60831390,0043
2019,4,60325000,0031
2019,3,60325470,0049
2019,9,60440770,0011
2019,4,60335430,0006
2019,5,60822180,0018
2019,2,60761330,0036
2019,12,60355000,0006
2019,1,60763520,0024
2019,1,60850370,0005
